term,bib,category_in_ref
chewing,enzler2021psychoacoustic,misophonic trigger
chewing,kumar2017brain,
chewing,Kumar2021motorbasis,
chewing gum,hansen2021sound,
chewing gum,Edelstein2020.09.12.292391,human eating
chewing gum,Jager2020misophonia,
crunching chips,hansen2021sound,
crunching chips,kumar2017brain,
crunching chips,Kumar2021motorbasis,
apple crunching,kumar2017brain,
apple crunching,Kumar2021motorbasis,
apple crunching,Edelstein2020.09.12.292391,
eating salad,kumar2017brain,
eating salad,Kumar2021motorbasis,
eating salad,Edelstein2020.09.12.292391,
eating sushi,Edelstein2020.09.12.292391,
eating noodles,Edelstein2020.09.12.292391,
eating cereal,Edelstein2020.09.12.292391,
eating a peach,hansen2021sound,
eating a grapefruit,schroder2019misophonia,
eating a carrot,schroder2019misophonia,
animal eating,Edelstein2020.09.12.292391,
cow eating,Edelstein2020.09.12.292391,
cat eating,Edelstein2020.09.12.292391,
horse munching,Edelstein2020.09.12.292391,
dog chewing bone,Edelstein2020.09.12.292391,
dog eating wet food,Edelstein2020.09.12.292391,
dog drinking water,hansen2021sound,
blowing nose,enzler2021psychoacoustic,misophonic trigger
cough,enzler2021psychoacoustic,misophonic trigger
hard breathing,enzler2021psychoacoustic,misophonic trigger
sniffing,enzler2021psychoacoustic,misophonic trigger
snoring,enzler2021psychoacoustic,misophonic trigger
vomit,enzler2021psychoacoustic,misophonic trigger
wheezing,enzler2021psychoacoustic,misophonic trigger
breath running,enzler2021psychoacoustic,misophonic trigger
gargling,enzler2021psychoacoustic,misophonic trigger
hard breathing,enzler2021psychoacoustic,misophonic trigger
keyboard,enzler2021psychoacoustic,misophonic trigger
pen clicking,enzler2021psychoacoustic,misophonic trigger
slurping,enzler2021psychoacoustic,misophonic trigger
swallowing,enzler2021psychoacoustic,misophonic trigger
throat clearing,enzler2021psychoacoustic,misophonic trigger
clapping,enzler2021psychoacoustic,unpleasant
distorted guitar dissonance,enzler2021psychoacoustic,unpleasant
fingernails on chalkboard,enzler2021psychoacoustic,unpleasant
fork scratch plate,enzler2021psychoacoustic,unpleasant
knife hit glass,enzler2021psychoacoustic,unpleasant
scream,enzler2021psychoacoustic,unpleasant
birds,enzler2021psychoacoustic,pleasant
fountain,enzler2021psychoacoustic,pleasant
harp,enzler2021psychoacoustic,pleasant
lake,enzler2021psychoacoustic,pleasant
laugh,enzler2021psychoacoustic,pleasant
underwater,enzler2021psychoacoustic,pleasant
